Year,Month,Area Name,Adjusted,Employed,Unemployed,Labor Force,Unemployment Rate
2022,December,Albany County,Not Seasonally Adjusted,"154,200","4,200","158,400",2.70%
2022,December,Allegany County,Not Seasonally Adjusted,"18,300",800,"19,100",4.10%
2022,December,Bronx County,Not Seasonally Adjusted,"562,400","41,700","604,100",6.90%
2022,December,Broome County,Not Seasonally Adjusted,"78,900","2,800","81,700",3.50%
2022,December,Cattaraugus County,Not Seasonally Adjusted,"31,300","1,300","32,600",4.00%
2022,December,Cayuga County,Not Seasonally Adjusted,"34,100","1,100","35,200",3.10%
2022,December,Chautauqua County,Not Seasonally Adjusted,"50,800","2,100","52,800",3.90%
2022,December,Chemung County,Not Seasonally Adjusted,"33,100","1,200","34,300",3.50%
2022,December,Chenango County,Not Seasonally Adjusted,"20,900",700,"21,600",3.20%
2022,December,Clinton County,Not Seasonally Adjusted,"33,900","1,100","35,000",3.10%
2022,December,Columbia County,Not Seasonally Adjusted,"29,200",700,"30,000",2.40%
2022,December,Cortland County,Not Seasonally Adjusted,"21,900",900,"22,800",3.90%
2022,December,Delaware County,Not Seasonally Adjusted,"17,500",700,"18,200",3.60%
2022,December,Dutchess County,Not Seasonally Adjusted,"138,100","3,800","142,000",2.70%
2022,December,Erie County,Not Seasonally Adjusted,"425,500","14,600","440,100",3.30%
2022,December,Essex County,Not Seasonally Adjusted,"15,600",600,"16,200",3.70%
2022,December,Franklin County,Not Seasonally Adjusted,"18,000",700,"18,700",3.60%
2022,December,Fulton County,Not Seasonally Adjusted,"21,500",900,"22,300",3.90%
2022,December,Genesee County,Not Seasonally Adjusted,"28,500",900,"29,400",3.10%
2022,December,Greene County,Not Seasonally Adjusted,"19,500",600,"20,200",3.20%
2022,December,Hamilton County,Not Seasonally Adjusted,"1,900",100,"2,100",5.90%
2022,December,Herkimer County,Not Seasonally Adjusted,"25,900","1,100","27,000",4.00%
2022,December,Jefferson County,Not Seasonally Adjusted,"41,400","1,800","43,300",4.30%
2022,December,Kings County,Not Seasonally Adjusted,"1,149,800","63,200","1,213,000",5.20%
2022,December,Lewis County,Not Seasonally Adjusted,"11,000",500,"11,600",4.40%
2022,December,Livingston County,Not Seasonally Adjusted,"29,000",900,"29,900",3.10%
2022,December,Madison County,Not Seasonally Adjusted,"31,800","1,100","32,900",3.40%
2022,December,Monroe County,Not Seasonally Adjusted,"348,800","11,100","359,900",3.10%
2022,December,Montgomery County,Not Seasonally Adjusted,"21,400",900,"22,300",4.10%
2022,December,Nassau County,Not Seasonally Adjusted,"704,800","17,800","722,600",2.50%
2022,December,New York County,Not Seasonally Adjusted,"886,200","38,200","924,400",4.10%
2022,December,Niagara County,Not Seasonally Adjusted,"93,700","3,600","97,300",3.70%
2022,December,Oneida County,Not Seasonally Adjusted,"95,300","3,300","98,600",3.40%
2022,December,Onondaga County,Not Seasonally Adjusted,"217,300","6,600","223,900",2.90%
2022,December,Ontario County,Not Seasonally Adjusted,"53,600","1,600","55,200",2.90%
2022,December,Orange County,Not Seasonally Adjusted,"183,500","5,300","188,800",2.80%
2022,December,Orleans County,Not Seasonally Adjusted,"16,300",600,"16,900",3.60%
2022,December,Oswego County,Not Seasonally Adjusted,"50,900","2,200","53,000",4.10%
2022,December,Otsego County,Not Seasonally Adjusted,"25,300",900,"26,300",3.60%
2022,December,Putnam County,Not Seasonally Adjusted,"49,100","1,300","50,400",2.60%
2022,December,Queens County,Not Seasonally Adjusted,"1,092,800","51,300","1,144,100",4.50%
2022,December,Rensselaer County,Not Seasonally Adjusted,"79,500","2,200","81,700",2.70%
2022,December,Richmond County,Not Seasonally Adjusted,"216,800","10,900","227,700",4.80%
2022,December,Rockland County,Not Seasonally Adjusted,"154,200","3,900","158,100",2.40%
2022,December,Saratoga County,Not Seasonally Adjusted,"118,100","3,000","121,100",2.40%
2022,December,Schenectady County,Not Seasonally Adjusted,"75,200","2,300","77,400",2.90%
2022,December,Schoharie County,Not Seasonally Adjusted,"14,200",600,"14,800",3.90%
2022,December,Schuyler County,Not Seasonally Adjusted,"7,500",300,"7,800",3.90%
2022,December,Seneca County,Not Seasonally Adjusted,"14,000",400,"14,400",3.10%
2022,December,St. Lawrence County,Not Seasonally Adjusted,"41,100","1,700","42,800",4.00%
2022,December,Steuben County,Not Seasonally Adjusted,"39,200","1,500","40,700",3.60%
2022,December,Suffolk County,Not Seasonally Adjusted,"771,500","21,800","793,400",2.70%
2022,December,Sullivan County,Not Seasonally Adjusted,"35,600","1,100","36,700",3.00%
2022,December,Tioga County,Not Seasonally Adjusted,"21,400",700,"22,100",3.00%
2022,December,Tompkins County,Not Seasonally Adjusted,"49,000","1,300","50,200",2.50%
2022,December,Ulster County,Not Seasonally Adjusted,"84,100","2,400","86,500",2.80%
2022,December,Warren County,Not Seasonally Adjusted,"29,600","1,100","30,700",3.60%
2022,December,Washington County,Not Seasonally Adjusted,"26,100",800,"26,900",3.10%
2022,December,Wayne County,Not Seasonally Adjusted,"41,600","1,300","42,900",3.00%
2022,December,Westchester County,Not Seasonally Adjusted,"479,100","13,000","492,200",2.70%
2022,December,Wyoming County,Not Seasonally Adjusted,"16,500",600,"17,100",3.70%
2022,December,Yates County,Not Seasonally Adjusted,"11,200",400,"11,500",3.10%
2022,November,Albany County,Not Seasonally Adjusted,"155,000","4,400","159,300",2.70%
2022,November,Allegany County,Not Seasonally Adjusted,"18,400",700,"19,100",3.60%
2022,November,Bronx County,Not Seasonally Adjusted,"559,700","41,800","601,500",7.00%
2022,November,Broome County,Not Seasonally Adjusted,"79,000","2,700","81,700",3.30%
2022,November,Cattaraugus County,Not Seasonally Adjusted,"31,000","1,200","32,200",3.80%
